ID,livingSpaceIcon.svg,propertyAreaIcon.svg,descripcion,zona,localizacion,precio,bedroomIcon.svg,bathroomIcon.svg
W-02UO45,211 ㎡,207 ㎡,Casa urbana con encanto y totalmente renovada en Binissalem,Central,Binissalem,1.390.000 EUR,3,2
W-046F2Y,90 ㎡,,Encantador apartamento con ascensor y balcón,Palma,Palma Catedral - Casco Antiguo,695.000 EUR,2,2
W-0307JE,257 ㎡,990 ㎡,Exclusiva villa en primera línea de mar con acceso directo al agua,Noreste,Font de Sa Cala,4.150.000 EUR,4,4
W-030US3,373 ㎡,312 ㎡,Moderna y elegante casa adosada en Campanet,Norte,Campanet,1.850.000 EUR,5,6
W-02ZAN2,294 ㎡,"1,56 ㏊",Finca de nueva construcción en Sineu,Central,Sineu,1.700.000 EUR,4,3
W-046941,360 ㎡,"1,6 ㏊",Encantadora finca de estilo cortijo en Es Capdellà,Suroeste,Capdella,6.600.000 EUR,3,3
W-02ZEZ7,157 ㎡,315 ㎡,Moderno pareado en Puig de Ros,Sur,Puig de Ros,1.150.000 EUR,3,3
W-030NM8,363 ㎡,"2,94 ㏊",Oasis de finca auténtica cerca de Es Trenc,Sureste,Campos,1.150.000 EUR,2,2
W-02YAUW,512 ㎡,"1,57 ㏊",Elegante finca con diseño mediterráneo,Sureste,Santanyí,3.900.000 EUR,6,6
W-02WNBX,107 ㎡,,Ático elegante en el pintoresco Puerto de Alcudia,Norte,Puerto Alcudia,675.000 EUR,4,3
W-02PGIN,170 ㎡,"1,84 ㏊",Casa de campo en zona tranquila y privada en Muro,Norte,Muro,1.300.000 EUR,4,3
W-02Z2P9,708 ㎡,1.366 ㎡,Amplia villa junto al mar con vistas maravillosas a Cala Agulla,Noreste,Cala Ratjada,2.495.000 EUR,8,6
W-02J57H,500 ㎡,"1,49 ㏊",Lujosa casa de campo con piscina en Alcudia,Norte,Alcudia,4.200.000 EUR,4,6
W-02ZJ8S,254 ㎡,230 ㎡,Encantadora casa adosada en el corazón de Campos,Sureste,Campos,1.490.000 EUR,4,3
W-02PJTP,1.538 ㎡,4.200 ㎡,Refugio mediterráneo con alma histórica en el corazón de Alaró,Central,Alaró,A Consultar,11,10
W-02TQVV,272 ㎡,430 ㎡,Villa moderna con impresionantes vistas al mar y licencia de alquiler vacacional,Norte,Puerto Alcudia - Alcanada,1.790.000 EUR,4,3
W-030JD6,181 ㎡,,Propiedad a reformar con garaje en el casco histórico de Alcudia,Norte,Alcudia,695.000 EUR,2,1
W-02J1WB,282 ㎡,1.439 ㎡,Villa exclusiva en el campo de golf de Bendinat,Suroeste,Bendinat,4.200.000 EUR,4,4
W-02CDAZ,398 ㎡,"2,07 ㏊",Casa de campo con privacidad y vistas panorámicas,Central,Llubí,2.500.000 EUR,4,5
W-046DAA,270 ㎡,730 ㎡,Villa en construcción con vistas al mar,Noreste,Cala Ratjada,1.600.000 EUR,4,4
W-02Y3F9,498 ㎡,"2,6 ㏊",Auténtica finca con hermoso jardín,Sureste,Felanitx,3.500.000 EUR,5,5
W-0302ZC,589 ㎡,970 ㎡,Villa Mediterránea Contemporánea con Hermosas Vistas al Mar,Suroeste,Costa d'en Blanes,8.900.000 EUR,4,4
W-02XBXX,361 ㎡,172 ㎡,Casa de pueblo renovada cerca de la plaza del mercado,Sur,Llucmajor,800.000 EUR,4,3
W-0302YL,590 ㎡,976 ㎡,Lujo mediterráneo moderno con vistas panorámicas al mar,Suroeste,Costa d'en Blanes,9.500.000 EUR,4,4
W-0463GQ,76 ㎡,,Apartamento vacacional con impresionantes vistas al mar junto al puerto,Suroeste,Portals,1.200.000 EUR,2,2
W-00A8UW,119 ㎡,,"Ático con terrazas impresionantes, ascensor y garaje",Palma,Palma Catedral - Casco Antiguo,1.800.000 EUR,2,3
W-04634D,245 ㎡,"2,99 ㏊","Genuinamente mallorquín, modernizado con estilo - un refugio con alma",Suroeste,Andratx,4.500.000 EUR,4,3
W-030ESC,878 ㎡,"1,57 ㏊",Exclusiva finca de nueva construcción con vistas al mar en Cala Llombards,Sureste,Cala Llombards,6.500.000 EUR,6,6
W-02ZCQL,,"2,65 ㏊",Parcela de ensueño con vistas panorámicas y licencia aprobada en Santa Margalida,Norte,Santa Margalida,495.000 EUR,,
W-0468ZH,33 ㎡,,Estudio artístico coqueto en una ubicación perfecta,Palma,Palma Catedral - Casco Antiguo,280.000 EUR,1,1
W-02RVSV,1.065 ㎡,2.500 ㎡,Impresionante villa de obra nueva con vistas panorámicas,Suroeste,Costa d'en Blanes,25.000.000 EUR,6,8
W-009XVH,423 ㎡,729 ㎡,Casa de Pueblo de Diseño con vistas panoramicas en ubicación privilegiada,Sureste,Alquería Blanca,A Consultar,5,7
W-02ZSCG,245 ㎡,"1,81 ㏊",Magnífica finca sostenible con casa de invitados a tan solo 2 km de Alcúdia,Norte,Alcudia,1.750.000 EUR,5,3
W-02WQF0,131 ㎡,109 ㎡,"Magnífica casa de pueblo con garaje en el casco histórico, renovada con gusto y sofisticación",Norte,Pollensa,1.350.000 EUR,3,2
W-046BPV,120 ㎡,55 ㎡,Casa de pueblo modernizada con terraza panorámica,Noreste,Capdepera,780.000 EUR,2,2
W-02YJ73,148 ㎡,,Amplio apartamento a estrenar de 4 dormitorios con fantásticas vistas al verde,Suroeste,Cas Catalá,1.495.000 EUR,4,4
W-0468V5,260 ㎡,240 ㎡,Casa de pueblo reformada en el centro de Felanitx,Sureste,Felanitx,1.600.000 EUR,4,3
W-046505,86 ㎡,,Apartment con vistas al mar en el corazón de Palma,Palma,Es Forti,595.000 EUR,3,2
W-0465DY,649 ㎡,1.188 ㎡,Patrimonio Histórico con Nuevo Esplendor: Antigua Fábrica de Jabones reformada,Oeste,Sóller,2.700.000 EUR,11,6
W-0466GL,329 ㎡,1.030 ㎡,"Villa familiar completamente renovada, un oasis de bienestar para los más exigentes",Suroeste,Santa Ponsa,4.200.000 EUR,5,4
W-030AB2,848 ㎡,"5,03 ㏊",“La cima” - Único en su estilo,Sureste,Son Macia,A Consultar,4,4
W-02WRN4,490 ㎡,3 ㏊,Finca oasis única con estética purista y elegante y vistas panorámicas al mar,Noreste,San Lorenzo,6.900.000 EUR,5,4
W-046A8O,140 ㎡,146 ㎡,Exclusiva vivienda urbana con piscina privada,Noreste,Capdepera,750.000 EUR,2,2
W-02DUGM,352 ㎡,"4,28 ㏊","Casa de campo muy exclusiva en Alcanada, Puerto Alcudia",Norte,Puerto Alcudia,1.600.000 EUR,5,4
W-03094M,154 ㎡,1.127 ㎡,Villa mediterránea en Costa los Pinos,Noreste,Costa de Los Pinos,1.690.000 EUR,3,2
W-030TZJ,218 ㎡,7.963 ㎡,Auténtica finca con privacidad cerca de S'Arracó,Suroeste,S'Arraco,2.400.000 EUR,4,3
W-02BQAP,595 ㎡,"1,42 ㏊",Refugio de ensueño entre viñedos,Central,Santa María,5.500.000 EUR,4,2
W-02WBI2,144 ㎡,260 ㎡,Bonita casa de pueblo con piscina en Campanet,Norte,Campanet,1.100.000 EUR,3,3
W-02YP1G,107 ㎡,315 ㎡,"Bonita casa pareada con licencia de alquiler vacacional a 3 minutos a pie de la Playa de Alcudia, Mallorca",Norte,Puerto Alcudia,790.000 EUR,3,2
W-02ZICD,436 ㎡,"1,42 ㏊",Finca de ensueño con licencia de alquiler cerca de Es Trenc,Sureste,Campos,3.650.000 EUR,6,5
W-02NZVL,90 ㎡,,"Ático luminoso y renovado en San Agustín, a poca distancia de la playa y los servicios",Palma,San Agustin,1.150.000 EUR,2,2
W-02VCU9,158 ㎡,139 ㎡,Acogedora casa de pueblo con piscina,Central,San Juan,597.500 EUR,3,2
W-030U1H,58 ㎡,,Acogedor apartamento en planta baja en la exclusiva zona de Alcanada,Norte,Puerto Alcudia - Alcanada,460.000 EUR,2,1
W-0469PC,622 ㎡,7.904 ㎡,Villa de lujo con impresionantes vistas al mar cerca de Palma,Central,Puntiró,5.950.000 EUR,6,5
W-02UIVW,622 ㎡,7.904 ㎡,Villa de vanguardia - diseño y vistas al mar,Central,Puntiró,5.950.000 EUR,6,5
W-030X2X,690 ㎡,1.113 ㎡,Villa de diseño con vistas al mar,Suroeste,Port Andratx,13.500.000 EUR,5,6
W-02Z1RR,251 ㎡,"9,03 ㏊",Oportunidad de desarrollo en Pollença: ¡Haga su propio aceite de oliva!,Norte,Pollensa,1.300.000 EUR,3,2
W-0467GI,118 ㎡,371 ㎡,Beach House en el centro de Colonia Sant Jordi,Sureste,Colonia de Sant Jordi,1.350.000 EUR,3,2
W-04628R,155 ㎡,300 ㎡,Pareado de nueva construcción en Puig de Ros,Sur,Puig de Ros,899.000 EUR,4,3
W-030R0E,,"3,5 ㏊",Amplia parcela con potencial cerca de Alquería Blanca,Sureste,Alquería Blanca,1.400.000 EUR,,
W-030WL1,143 ㎡,83 ㎡,Casa de pueblo con piscina privada en el corazón de Alaró,Central,Alaró,619.000 EUR,2,2
W-030H2V,341 ㎡,"1,68 ㏊",Finca en posición elevada con piscina y vistas,Central,Sineu,1.580.000 EUR,3,2
W-0468XZ,75 ㎡,,Nuevo complejo residencial cerca de la playa de Canyamel,Noreste,Canyamel,500.000 EUR,2,2
W-0464BO,387 ㎡,5.043 ㎡,Finca con casa de invitados y establos en Bunyola,Central,Bunyola,1.350.000 EUR,5,4
W-0302B6,368 ㎡,"1,81 ㏊",Finca de nueva construcción en excelente ubicación entre Pollensa y Puerto Pollensa,Norte,Pollensa,3.475.000 EUR,4,4
W-0468X9,75 ㎡,,Natural y elegante: su nuevo hogar en la costa de Mallorca,Noreste,Canyamel,585.000 EUR,2,2
W-0468UC,315 ㎡,1.003 ㎡,Elegante villa de nueva construcción con estilo mediterráneo,Son Vida & Palma Alrededores,Palmanyola,3.400.000 EUR,4,3
W-02VC15,375 ㎡,"3,43 ㏊",Finca con vistas y licencia de alquiler vacacional,Central,Caimari,2.250.000 EUR,6,6
W-02ZPNM,217 ㎡,705 ㎡,Exclusivo adosado con vistas al mar,Sur,Cala Blava,1.550.000 EUR,3,3
W-0468QI,68 ㎡,,Vivienda moderna junto al mar – Nueva construcción exclusiva en Canyamel,Noreste,Canyamel,436.000 EUR,2,1
W-02Z8EL,145 ㎡,,Ático exclusivo renovado con azotea enorme y vistas fantásticas,Palma,Palma Catedral - Casco Antiguo,2.300.000 EUR,2,2
W-02ZYLW,219 ㎡,,Planta baja en Son Armadams con garaje y trastero,Palma,Son Armadams,760.000 EUR,3,2
W-030P68,85 ㎡,,Apartamento elegante con terrazas y piscina comunitaria,Palma,Palma Catedral - Casco Antiguo,1.690.000 EUR,2,2
W-02TC0W,490 ㎡,525 ㎡,Idílico oasis con piscina en Llucmajor,Sur,Llucmajor,1.795.000 EUR,4,4
W-0465J8,190 ㎡,,Elegante apartamento en un edificio histórico,Palma,Palma City Centre,1.790.000 EUR,3,2
W-02WGET,,2.076 ㎡,"Solar con espectaculares vistas al mar, proyecto de ejecución y licencia de obras",Son Vida & Palma Alrededores,Son Vida,4.600.000 EUR,,
W-030TU7,711 ㎡,2.185 ㎡,Amplia villa con encanto de finca y vistas panorámicas,Sur,Las Palmeras,2.250.000 EUR,6,5
W-030F0Y,148 ㎡,2.015 ㎡,Encantadora finca en un lugar idílico con preciosas vistas,Central,Montuiri,589.000 EUR,3,3
W-0462RK,85 ㎡,,Elegante apartamento con piscina y parking cerca del mar,Palma,Portixol & Molinar,495.000 EUR,3,2
W-030WIE,257 ㎡,1.374 ㎡,Villa mediterránea en ubicación tranquila con vistas al mar,Sureste,Santanyí,2.900.000 EUR,3,2
W-02TWS4,192 ㎡,,Ático nuevo con impresionantes vistas al mar,Suroeste,Andratx,2.890.000 EUR,3,3
W-02ZYED,478 ㎡,"1,56 ㏊",Elegante finca a poca distancia de Santanyí,Sureste,Santanyí,4.950.000 EUR,5,5
W-030P0D,479 ㎡,1.168 ㎡,"""Gaviota"" de diseño en una ubicación muy cotizada con licencia para alquiler vacacional",Suroeste,Port Andratx,11.500.000 EUR,5,5
W-02Y4TV,120 ㎡,60 ㎡,Moderna casa adosada con preciosas vistas a Artá,Noreste,Artá,580.000 EUR,2,2
W-00I7UO,1.743 ㎡,"75,91 ㏊",Son Marrón: Un tesoro histórico en el corazón de Mallorca,Central,Lloret de Vista Alegre,2.710.000 EUR,9,2
W-02Z3RM,380 ㎡,992 ㎡,Villa en primera línea de mar con gran potencial,Sur,Cala Pi,2.900.000 EUR,4,2
W-02QSXY,230 ㎡,"1,59 ㏊",Magnífica finca en Calvià con espectaculares vistas panorámicas,Suroeste,Calvià,2.170.000 EUR,5,3
W-030VO5,613 ㎡,1.117 ㎡,Moderna villa de nueva construcción con diseño excepcional cerca del puerto de Santa Ponsa,Suroeste,Santa Ponsa,5.500.000 EUR,4,4
W-02T8BJ,353 ㎡,"1,47 ㏊",Elegante casa de campo con vistas al mar,Noreste,Manacor,2.975.000 EUR,4,4
W-02Z5JR,101 ㎡,,Nuevo complejo de apartamentos en construcción cerca de Palma,Son Vida & Palma Alrededores,Palma Golf,1.075.000 EUR,3,2
W-030RRE,345 ㎡,1.388 ㎡,Villa acogedora con magníficas vistas al mar,Noreste,Costa de Los Pinos,2.980.000 EUR,3,3
W-02SJAG,445 ㎡,1.302 ㎡,Hermosa Villa Moderna con Vistas Panorámicas al Mar en Nova Santa Ponsa,Suroeste,Santa Ponsa,6.900.000 EUR,4,5
W-02Q609,398 ㎡,1.313 ㎡,Villa moderna con vistas panorámicas al mar en Santa Ponsa,Suroeste,Santa Ponsa,5.950.000 EUR,5,5
W-02YSLM,266 ㎡,839 ㎡,Villa moderna en primera línea de mar con vistas panorámicas,Noreste,Betlem,2.950.000 EUR,4,5
W-030X5T,550 ㎡,387 ㎡,Encantadora casa señorial con espacio comercial y piscina en el corazón de Binissalem,Central,Binissalem,1.980.000 EUR,5,2
W-02VU1E,313 ㎡,"1,62 ㏊",Finca Exquisita con Impresionantes Vistas a la Montaña,Central,Algaida,1.875.000 EUR,4,3
W-02SH76,430 ㎡,1.361 ㎡,Exclusiva villa de nueva construcción cerca del puerto deportivo de Santa Ponsa,Suroeste,Santa Ponsa,6.950.000 EUR,4,4
W-030NCH,104 ㎡,3.577 ㎡,"Casa de campo con encanto en Campanet con huerto, piscina y apartamento independiente",Norte,Campanet,695.000 EUR,4,3
W-02JQ5C,305 ㎡,"2,79 ㏊",Moderna finca de nueva construcción,Sureste,Campos,2.600.000 EUR,4,4
W-02ERBD,403 ㎡,1.260 ㎡,Exclusiva propiedad con fantásticas vistas al mar,Suroeste,Bendinat,4.950.000 EUR,5,5
W-030WRE,,1.032 ㎡,Terreno edificable en primera línea de mar,Sureste,Cala d'Or,1.800.000 EUR,,
W-030WRM,,1.000 ㎡,Terreno edificable en primera línea de mar,Sureste,Cala d'Or,1.500.000 EUR,,
W-030OFW,336 ㎡,"1,68 ㏊",Finca de lujo con estilo moderno cerca del mar,Noreste,Porto Cristo Novo,A Consultar,4,4
W-0308HT,63 ㎡,,"Piso con garaje, trastero y piscina comunitaria",Palma,El Terreno,537.000 EUR,2,1
W-0298GN,243 ㎡,,Ático encantador con terraza privada y vistas a la catedral en edificio histórico,Palma,Palma Catedral - Casco Antiguo,3.950.000 EUR,4,4
W-0298GL,210 ㎡,,Moderna planta noble con acogedora terraza,Palma,Palma Catedral - Casco Antiguo,2.100.000 EUR,3,3
W-0298GM,159 ㎡,,Hermosa Belle Etage con encantadora terraza,Palma,Palma Catedral - Casco Antiguo,1.750.000 EUR,3,3
W-0298GF,53 ㎡,,Encantador apartamento en edificio histórico renovado,Palma,Palma Catedral - Casco Antiguo,380.000 EUR,1,1
W-0297N7,323 ㎡,,Piso dúplex con jardín privado y piscina,Palma,Palma Catedral - Casco Antiguo,3.100.000 EUR,4,4
W-0254K0,500 ㎡,1.100 ㎡,"""La Cima"", villa moderna con vistas al puerto",Suroeste,Port Andratx,6.100.000 EUR,5,5
W-02JPWW,236 ㎡,532 ㎡,Exclusiva villa de ensueño en el Mediterráneo – Lista para disfrutar,Norte,Cala San Vicente,1.350.000 EUR,4,5
W-02YZV4,870 ㎡,2.003 ㎡,Espectacular villa de obra nueva con vistas al mar en Son Vida,Son Vida & Palma Alrededores,Son Vida,11.500.000 EUR,5,7
W-02O7SM,677 ㎡,1.000 ㎡,Moderna villa de nueva construcción con espectaculares vistas en Son Vida,Son Vida & Palma Alrededores,Son Vida,5.500.000 EUR,4,5
W-02VF8Q,150 ㎡,129 ㎡,Promoción de obra nueva en Esporlas: Adosados con piscina comunitaria,Son Vida & Palma Alrededores,Esporles,795.000 EUR,3,2
W-02YEUS,,"1,52 ㏊",Maravilloso terreno con vistas a la Serra de Tramuntana,Central,Sencelles,649.000 EUR,,
W-02G8W3,222 ㎡,"1,52 ㏊",Finca con maravillosas vistas a la Sierra de Tramuntana,Central,Sencelles,649.000 EUR,3,1
W-0298UZ,,1.523 ㎡,Parcela con proyecto en ubicación favorecida,Noreste,Canyamel,270.000 EUR,,
W-01UIG8,4.599 ㎡,"207,07 ㏊",Propiedad única en idílico entorno,Sureste,Porreres,A Consultar,8,10
W-030CTM,279 ㎡,1.276 ㎡,Villa reformada con vistas panorámicas a la bahía de Palma,Central,Sa Cabaneta,1.390.000 EUR,4,3
W-030HEJ,1.760 ㎡,"2,48 ㏊",Propiedad única con encanto mediterráneo y vistas impresionantes,Sureste,Cas Concos,11.950.000 EUR,11,8
W-02PHGU,382 ㎡,"1,51 ㏊",Elegante finca de piedra natural cerca del puerto y rodeada de naturaleza,Sureste,Portocolom,3.250.000 EUR,4,4
W-030MJA,95 ㎡,,Moderno apartamento con jardín a poca distancia de Portals,Suroeste,Portals,1.325.000 EUR,2,2
W-0307JX,400 ㎡,8.261 ㎡,"Vida rural contemporánea con vistas abiertas, Finca con estilo cerca de Binissalem",Central,Binissalem,3.900.000 EUR,8,6
W-030W0C,,"1,5 ㏊",Terreno con vistas y proyecto de construcción – a 45 minutos del aeropuerto de PMI,Noreste,San Lorenzo,350.000 EUR,,
W-021PC7,928 ㎡,"34,3 ㏊",Histórica finca con vistas al mar,Noreste,Capdepera,5.500.000 EUR,7,4
W-030RFV,176 ㎡,2.075 ㎡,Moderno chalet de nueva construcción con vistas panorámicas sobre Manacor,Noreste,Manacor,2.200.000 EUR,3,3
W-02SK33,681 ㎡,"9,17 ㏊",Casa de campo con potencial y mucho terreno,Oeste,Deià,3.900.000 EUR,,
W-030WWV,,540 ㎡,Encantador terreno con vista panorámica,Sureste,Felanitx,385.000 EUR,,
W-030CQN,,238 ㎡,Excelente parcela urbana en posición elevada con vistas panorámicas en Caimari,Central,Caimari,360.000 EUR,,
W-02RHSZ,323 ㎡,175 ㎡,Encantadora casa tradicional en Biniamar con carácter atemporal,Central,Biniamar,1.250.000 EUR,6,7
W-030PNN,496 ㎡,1.500 ㎡,Espectacular villa en primera línea de mar,Sureste,Cala d'Or,4.200.000 EUR,4,3
W-030UYG,237 ㎡,620 ㎡,Moderna villa de diseño junto al mar,Sur,Bahía Grande / Bahía Azul,1.800.000 EUR,3,3
W-0306AV,351 ㎡,1.550 ㎡,Villa familiar con encanto en zona residencial tranquila,Central,Sa Cabaneta,1.690.000 EUR,5,3
W-0308OS,714 ㎡,4.545 ㎡,"Exclusiva propiedad en Canyamel: privacidad, estilo y sol en una ubicación privilegiada",Noreste,Canyamel,7.500.000 EUR,7,7
W-02A7LN,490 ㎡,"1,42 ㏊","Elegante finca de 6 dormitorios con casa de invitados, piscina y vistas a la montaña en Pollensa",Norte,Pollensa,3.375.000 EUR,6,5
W-030RJ2,240 ㎡,1.500 ㎡,Moderno chalet con diseño contemporáneo y gran terreno,Sur,Cala Pi,1.450.000 EUR,4,3
W-030HZS,180 ㎡,"1,47 ㏊",Casa mediterránea con piscina cerca de Es Trenc,Sureste,Ses Covetes,1.950.000 EUR,4,2
W-030UJM,173 ㎡,383 ㎡,Moderno chalet nuevo a pie de Cala Santanyí,Sureste,Santanyí,1.490.000 EUR,3,3
W-030PGQ,110 ㎡,84 ㎡,Encantadora casa de pueblo en una de las zonas más bonitas de Mallorca – ¡Pollensa!,Norte,Pollensa,795.000 EUR,2,2
W-02NTPU,1.017 ㎡,2.226 ㎡,Villa «High Five» - Una obra maestra en Port Andratx,Suroeste,Port Andratx,33.000.000 EUR,6,6
W-030EZ1,57 ㎡,,Apartamento con vistas al mar a solo 200m de la playa en Puerto Alcudia,Norte,Puerto Alcudia,465.000 EUR,2,1
W-02OV7Q,191 ㎡,7.684 ㎡,Encantadora finca rústica en el tranquilo campo de Llucmajor,Sur,Llucmajor,1.300.000 EUR,3,3
W-030RJD,200 ㎡,,Moderno apartamento dúplex con vista al mar,Sureste,Colonia de Sant Jordi,1.450.000 EUR,3,2
W-02WS3A,428 ㎡,1.100 ㎡,Villa mediterránea de ensueño con vistas al mar,Sur,Sa Torre,2.350.000 EUR,4,3
W-030U81,300 ㎡,1.464 ㎡,Joya en primera línea de mar - Villa con acceso directo al mar,Noreste,Canyamel,6.000.000 EUR,4,2
W-02ZA8A,100 ㎡,7.291 ㎡,Finca con vistas panorámicas de ensueño y máxima privacidad cerca de Santa Margalida,Norte,Santa Margalida,685.000 EUR,3,2
W-030LB6,,"1,45 ㏊",Fantástica finca rústica de 14.500 m² con proyecto y licencia aprobada en Can Picafort,Norte,Can Picafort,255.000 EUR,,
W-030LA4,,"1,45 ㏊","Finca rústica de 14.500 m² con proyecto y licencia, a solo 1 km de Santa Margalida",Norte,Santa Margalida,275.000 EUR,,
W-02YC6V,106 ㎡,,Luminoso apartamento cerca de la playa en Puerto de Alcudia,Norte,Puerto Alcudia,795.000 EUR,3,1
W-030JD2,181 ㎡,,Casa a reformar con garaje en una de las calles más bonitas de Alcudia,Norte,Alcudia,695.000 EUR,3,1
W-030AF3,235 ㎡,378 ㎡,**RESERVADO** Palma Oasis - Tranquilo hogar en exclusiva urbanización frente a zona verde,Palma,Sa Teulera,1.550.000 EUR,3,3
W-0309XH,200 ㎡,70 ㎡,Encantadora casa de pueblo con vistas fantásticas sobre Artà,Noreste,Artá,550.000 EUR,4,3
W-030RDI,232 ㎡,235 ㎡,Elegante casa urbana con casa de huéspedes separada,Sureste,Santanyí,2.500.000 EUR,3,3
W-02XQZF,204 ㎡,"1,5 ㏊",Encantadora finca rústica en Alaró,Central,Alaró,1.950.000 EUR,3,2
W-030R0S,135 ㎡,210 ㎡,Propiedad a reformar en primera línea de mar,Sureste,Colonia de Sant Jordi,1.600.000 EUR,,
W-030IAY,284 ㎡,551 ㎡,Oportunidad de inversión con gran potencial,Norte,Cala San Vicente,745.000 EUR,6,2
W-02ZH8L,146 ㎡,81 ㎡,Casa de pueblo con encanto y vistas impresionantes al campo en Campanet,Norte,Campanet,560.000 EUR,3,2
W-030S0V,136 ㎡,,Casa en el campo de golf con uso hotelero y vista al verde,Noreste,Son Servera,795.000 EUR,3,2
W-030BGH,501 ㎡,1.612 ㎡,Villa familiar privada en una amplia parcela en Nova Santa Ponsa,Suroeste,Santa Ponsa,3.900.000 EUR,5,5
W-030252,135 ㎡,,Exclusivo chalet adosado de obra nueva con acabados premium y excelente orientación,Suroeste,Capdella,1.200.000 EUR,3,2
W-0309NP,113 ㎡,49 ㎡,Encantadora residencia: una exclusiva comunidad en Deià.,Oeste,Deià,900.000 EUR,2,2
W-02CTL2,275 ㎡,,"Raimundo Townhouse - nueva casa urbana con terraza, piscina, garaje y bodega",Palma,Palma Catedral - Casco Antiguo,5.895.000 EUR,3,3
W-02Z3FQ,170 ㎡,,Impresionante ático tríplex con espectaculares vistas al mar,Suroeste,Cas Catalá,1.675.000 EUR,4,3
W-030C1F,,2.070 ㎡,Espectacular Solar Urbanizable con Vistas al Mar y al Golf en Son Vida,Son Vida & Palma Alrededores,Son Vida,5.800.000 EUR,,
W-030ET7,420 ㎡,"1,69 ㏊",Finca moderna con jardín amplio y vistas abiertas,Sureste,Calonge,4.600.000 EUR,6,6
W-02TXKF,202 ㎡,400 ㎡,"Magnífica y moderna villa en una zona exclusiva, Bonaire - Alcudia",Norte,Alcudia - Bonaire,1.795.000 EUR,4,3
W-025M48,508 ㎡,4.575 ㎡,Preciosa finca con vistas a la Tramuntana,Central,Alaró,2.495.000 EUR,4,4
W-030CFL,225 ㎡,"1,42 ㏊",Finca situada en una colina con vistas de ensueño,Central,Sineu,1.450.000 EUR,3,2
W-030M1T,387 ㎡,569 ㎡,Un refugio mediterráneo atemporal en el corazón de Lloseta,Central,Lloseta,3.700.000 EUR,4,5
W-030Q9W,206 ㎡,,"Villa moderna de obra nueva, terminada y con magníficas vistas al mar",Palma,San Agustin,3.200.000 EUR,4,4
W-02ZMNC,180 ㎡,,Espectacular apartamento de lujo en primera línea de mar de obra nueva - Puerto Pollensa,Norte,Puerto Pollensa,2.900.000 EUR,4,4
W-02P55T,223 ㎡,764 ㎡,Villa de ensueño en un entorno popular en Canyamel,Noreste,Canyamel,1.249.000 EUR,4,3
W-02RHEC,136 ㎡,,Hermoso piso de nueva construcción con parking,Palma,Palma Catedral - Casco Antiguo,875.000 EUR,2,2
W-02SU2Y,160 ㎡,,Lujo mediterráneo con vistas al mar: exclusivo apartamento de diseño en Génova,Suroeste,Cala Major,2.950.000 EUR,4,4
W-02UNP1,138 ㎡,"1,43 ㏊",Encantadora finca con gran potencial,Sur,Llucmajor,850.000 EUR,2,2
W-02ZKUS,571 ㎡,1.280 ㎡,Villa de ensueño en primera línea del mar,Sur,Son Veri,14.500.000 EUR,6,6
W-030OMD,350 ㎡,6.260 ㎡,Finca con fantásticas vistas al mar y a la montaña y licencia de alquiler,Noreste,Capdepera,1.780.000 EUR,5,5
W-030GGR,520 ㎡,5.754 ㎡,Propiedad única con acceso directo al mar y pista de tenis en Port Andratx,Suroeste,Port Andratx,35.000.000 EUR,5,7
W-02X6CS,323 ㎡,266 ㎡,"Casa de pueblo de diseño con piscina en Llubí – una joya de espacio, estilo y sofisticación",Central,Llubí,1.720.000 EUR,4,4
W-02Z96Z,315 ㎡,752 ㎡,Moderna villa en Sineu con piscina y garaje,Central,Sineu,1.590.000 EUR,3,2
W-030LW9,247 ㎡,825 ㎡,Encantadora villa mediterránea con vistas panorámicas al mar en Costa d’en Blanes,Suroeste,Costa d'en Blanes,3.450.000 EUR,4,2
W-02ZSDU,389 ㎡,"1,31 ㏊",Oportunidad excepcional en el sur de Palma – Vivienda moderna con vistas panorámicas y potencial de expansión,Central,S'Aranjassa,2.950.000 EUR,5,6
W-030EEI,100 ㎡,,Ático romántico al borde del casco antiguo,Palma,Palma City Centre,650.000 EUR,3,2
W-02GH4A,386 ㎡,7.115 ㎡,Confortable casa de campo con impresionante jardín,Sur,Llucmajor,1.650.000 EUR,4,4
W-030I0C,600 ㎡,1.129 ㎡,Villa de lujo de nueva construcción,Suroeste,Cala Vinyes,5.950.000 EUR,5,5
W-030EY8,326 ㎡,200 ㎡,"Oportunidad excepcional en Petra, Casa señorial con licencia vacacional",Central,Petra,750.000 EUR,5,3
W-02IVJW,423 ㎡,7.103 ㎡,Finca con impresionante jardín y piscina,Central,Sencelles,1.750.000 EUR,4,4
W-02ZSJ6,456 ㎡,"2,52 ㏊",Finca de diseño excepcional en una ubicación privilegiada,Central,Selva,4.600.000 EUR,4,4
W-02XCRB,239 ㎡,205 ㎡,Preciosa casa de pueblo reformada en Alaró,Central,Alaró,1.425.000 EUR,5,4
W-0303I3,,1.300 ㎡,Parcela excepcional con licencia de construcción,Oeste,Valldemossa,590.000 EUR,,
W-030DA1,73 ㎡,,Luminoso y moderno piso en Camp de Serralta,Palma,Camp d'en Serralta,580.000 EUR,2,2
W-02Y676,216 ㎡,176 ㎡,"Casa mallorquina exquisitamente reformada con piscina, Muro",Norte,Muro,995.000 EUR,3,2
