ID,livingSpaceIcon.svg,propertyAreaIcon.svg,descripcion,zona,localizacion,precio,bedroomIcon.svg,bathroomIcon.svg
W-02ZT3D,,"1,5 ㏊","Parcela Exclusiva – Privacidad, Vistas y Estilo de Vida Mediterráneo",Central,Moscari,520.000 EUR,,
W-02ZA6M,,"1,68 ㏊",Solar en zona Tranquila entre Moscari y Selva,Central,Moscari,520.000 EUR,,
W-047MCV,159 ㎡,131 ㎡,"Casa mallorquina auténtica, renovada en venta en el encantador Campanet",Norte,Campanet,550.000 EUR,3,2
W-02IZI8,313 ㎡,11.500 ㎡,Excepcional proyecto inmobiliario con dos unidades residenciales y vistas panorámicas en Alaró,Central,Alaró,1.198.000 EUR,6,4
W-02VYPW,175 ㎡,186 ㎡,Impresionante casa pueblo con piscina,Central,Maria de la Salut,890.000 EUR,3,3
W-02VXIM,235 ㎡,286 ㎡,Bonita casa de pueblo con piscina en Sineu,Central,Sineu,1.190.000 EUR,3,4
W-02V4X1,296 ㎡,410 ㎡,Gran auténtica casa de pueblo reformada con piscina,Central,Lloret de Vista Alegre,1.390.000 EUR,3,4
W-047160,82 ㎡,,Apartamento en exclusiva urbanización con vistas al mar,Suroeste,Port Andratx,1.495.000 EUR,2,2
W-047HNZ,192 ㎡,8.878 ㎡,Finca clásica con licencia de alquiler cerca de las calas más hermosas,Sureste,Cala d'Or,1.795.000 EUR,4,3
W-02XPFB,311 ㎡,553 ㎡,Moderno chalet independiente con espectaculares vistas a la montaña en Esporles,Son Vida & Palma Alrededores,Esporles,1.725.000 EUR,2,2
W-02XLEE,235 ㎡,668 ㎡,Moderna villa con licencia de alquiler vacacional – a pocos minutos a pie de la playa,Norte,Playa de Muro,895.000 EUR,4,4
W-047OL1,181 ㎡,,Lujoso piso con azotea compartida,Palma,Palma Catedral - Casco Antiguo,1.395.000 EUR,3,3
W-046UM0,234 ㎡,634 ㎡,Villa exclusiva con licencia de alquiler cerca de la playa,Noreste,Canyamel,1.385.000 EUR,4,3
W-047KZG,295 ㎡,7.106 ㎡,Finca cerca de Son Servera – Son Fetget con espectacular vista al mar y muy buena conexión,Noreste,Son Servera,2.200.000 EUR,3,3
W-02VXCT,262 ㎡,321 ㎡,Casa de ensueño llena de luz con vista al mar y terraza en la azotea,Sur,Cala Pi,1.390.000 EUR,3,2
W-02414X,518 ㎡,2.444 ㎡,Gran villa con pista de tenis en Pinar Park,Son Vida & Palma Alrededores,Palma Golf,3.500.000 EUR,6,4
W-02VBVD,,"1,55 ㏊",Gran terreno con licencia en Algaida,Central,Algaida,250.000 EUR,,
