superficie_construida,superficie_parcela,habitaciones,banos,zona,localizacion,precio
83 ㎡,,3.0,2.0,Central,Mallorca Central - Es Rafal,490.000 EUR
520 ㎡,1.331 ㎡,5.0,4.0,Suroeste,Santa Ponsa,6.300.000 EUR
399 ㎡,"2,38 ㏊",5.0,5.0,Sureste,Ses Salines,5.450.000 EUR
115 ㎡,,3.0,2.0,Suroeste,Costa de la Calma,1.995.000 EUR
200 ㎡,4.810 ㎡,3.0,2.0,Noreste,Canyamel,790.000 EUR
353 ㎡,207 ㎡,5.0,6.0,Noreste,Artá,970.000 EUR
393 ㎡,"2,33 ㏊",5.0,4.0,Sureste,Portopetro,4.250.000 EUR
66 ㎡,,2.0,1.0,Palma,Palma Catedral - Casco Antiguo,625.000 EUR
477 ㎡,1.100 ㎡,4.0,3.0,Suroeste,Costa d'en Blanes,3.900.000 EUR
433 ㎡,,5.0,5.0,Norte,Pollensa,2.200.000 EUR
550 ㎡,"1,36 ㏊",6.0,7.0,Central,Santa María,7.500.000 EUR
546 ㎡,953 ㎡,5.0,6.0,Suroeste,Bendinat,8.450.000 EUR
481 ㎡,"2,89 ㏊",4.0,4.0,Central,Llubí,2.950.000 EUR
396 ㎡,2.001 ㎡,4.0,3.0,Central,Son Gual,2.640.000 EUR
434 ㎡,309 ㎡,3.0,2.0,Noreste,Artá,1.985.000 EUR
705 ㎡,1.326 ㎡,5.0,3.0,Palma,La Bonanova,9.900.000 EUR
160 ㎡,,4.0,2.0,Palma,Palma Catedral - Casco Antiguo,1.650.000 EUR
156 ㎡,54 ㎡,2.0,1.0,Central,Selva,420.000 EUR
374 ㎡,1.893 ㎡,3.0,2.0,Central,Mancor del Valle,1.350.000 EUR
,1.390 ㎡,,,Suroeste,Camp de Mar,3.950.000 EUR
303 ㎡,2.100 ㎡,5.0,4.0,Suroeste,Costa de la Calma,3.450.000 EUR
477 ㎡,11.967 ㎡,5.0,3.0,Central,Son Ferriol,970.000 EUR
106 ㎡,,3.0,2.0,Norte,Alcudia,415.000 EUR
